q,q_mod4,omega,g_predicted,g_measured
2,2,1,1.000000,1.000000
3,3,0,1.500000,1.500000
5,1,2,0.750000,0.750000
7,3,0,1.166667,1.166667
11,3,0,1.100000,1.100000
13,1,2,0.916667,0.916667
17,1,2,0.937500,0.937500
19,3,0,1.055556,1.055556
23,3,0,1.045455,1.045455
29,1,2,0.964286,0.964286
31,3,0,1.033333,1.033333
37,1,2,0.972222,0.972222
41,1,2,0.975000,0.975000
43,3,0,1.023810,1.023810
47,3,0,1.021739,1.021739
53,1,2,0.980769,0.980769
59,3,0,1.017241,1.017241
61,1,2,0.983333,0.983333
67,3,0,1.015152,1.015152
71,3,0,1.014286,1.014286
73,1,2,0.986111,0.986111
79,3,0,1.012821,1.012821
83,3,0,1.012195,1.012195
89,1,2,0.988636,0.988636
97,1,2,0.989583,0.989583
101,1,2,0.990000,0.990000
103,3,0,1.009804,1.009804
107,3,0,1.009434,1.009434
109,1,2,0.990741,0.990741
113,1,2,0.991071,0.991071
127,3,0,1.007937,1.007937
131,3,0,1.007692,1.007692
137,1,2,0.992647,0.992647
139,3,0,1.007246,1.007246
149,1,2,0.993243,0.993243
151,3,0,1.006667,1.006667
157,1,2,0.993590,0.993590
163,3,0,1.006173,1.006173
167,3,0,1.006024,1.006024
173,1,2,0.994186,0.994186
179,3,0,1.005618,1.005618
181,1,2,0.994444,0.994444
191,3,0,1.005263,1.005263
193,1,2,0.994792,0.994792
197,1,2,0.994898,0.994898
199,3,0,1.005051,1.005051
211,3,0,1.004762,1.004762
223,3,0,1.004505,1.004505
227,3,0,1.004425,1.004425
229,1,2,0.995614,0.995614
233,1,2,0.995690,0.995690
239,3,0,1.004202,1.004202
241,1,2,0.995833,0.995833
251,3,0,1.004000,1.004000
257,1,2,0.996094,0.996094
263,3,0,1.003817,1.003817
269,1,2,0.996269,0.996269
271,3,0,1.003704,1.003704
277,1,2,0.996377,0.996377
281,1,2,0.996429,0.996429
283,3,0,1.003546,1.003546
293,1,2,0.996575,0.996575
307,3,0,1.003268,1.003268
311,3,0,1.003226,1.003226
313,1,2,0.996795,0.996795
317,1,2,0.996835,0.996835
331,3,0,1.003030,1.003030
337,1,2,0.997024,0.997024
347,3,0,1.002890,1.002890
349,1,2,0.997126,0.997126
353,1,2,0.997159,0.997159
359,3,0,1.002793,1.002793
367,3,0,1.002732,1.002732
373,1,2,0.997312,0.997312
379,3,0,1.002646,1.002646
383,3,0,1.002618,1.002618
389,1,2,0.997423,0.997423
397,1,2,0.997475,0.997475
401,1,2,0.997500,0.997500
409,1,2,0.997549,0.997549
419,3,0,1.002392,1.002392
421,1,2,0.997619,0.997619
431,3,0,1.002326,1.002326
433,1,2,0.997685,0.997685
439,3,0,1.002283,1.002283
443,3,0,1.002262,1.002262
449,1,2,0.997768,0.997768
457,1,2,0.997807,0.997807
461,1,2,0.997826,0.997826
463,3,0,1.002165,1.002165
467,3,0,1.002146,1.002146
479,3,0,1.002092,1.002092
487,3,0,1.002058,1.002058
491,3,0,1.002041,1.002041
499,3,0,1.002008,1.002008
503,3,0,1.001992,1.001992
509,1,2,0.998031,0.998032
521,1,2,0.998077,0.998077
523,3,0,1.001916,1.001916
541,1,2,0.998148,0.998148
547,3,0,1.001832,1.001832
557,1,2,0.998201,0.998201
563,3,0,1.001779,1.001779
569,1,2,0.998239,0.998239
571,3,0,1.001754,1.001754
577,1,2,0.998264,0.998264
587,3,0,1.001706,1.001706
593,1,2,0.998311,0.998311
599,3,0,1.001672,1.001672
601,1,2,0.998333,0.998333
607,3,0,1.001650,1.001650
613,1,2,0.998366,0.998366
617,1,2,0.998377,0.998377
619,3,0,1.001618,1.001618
631,3,0,1.001587,1.001587
641,1,2,0.998437,0.998437
643,3,0,1.001558,1.001558
647,3,0,1.001548,1.001548
653,1,2,0.998466,0.998466
659,3,0,1.001520,1.001520
661,1,2,0.998485,0.998485
673,1,2,0.998512,0.998512
677,1,2,0.998521,0.998521
683,3,0,1.001466,1.001466
691,3,0,1.001449,1.001449
701,1,2,0.998571,0.998571
709,1,2,0.998588,0.998588
719,3,0,1.001393,1.001393
727,3,0,1.001377,1.001377
733,1,2,0.998634,0.998634
739,3,0,1.001355,1.001355
743,3,0,1.001348,1.001348
751,3,0,1.001333,1.001333
757,1,2,0.998677,0.998677
761,1,2,0.998684,0.998684
769,1,2,0.998698,0.998698
773,1,2,0.998705,0.998705
787,3,0,1.001272,1.001272
797,1,2,0.998744,0.998744
809,1,2,0.998762,0.998762
811,3,0,1.001235,1.001235
821,1,2,0.998780,0.998780
823,3,0,1.001217,1.001217
827,3,0,1.001211,1.001211
829,1,2,0.998792,0.998792
839,3,0,1.001193,1.001193
853,1,2,0.998826,0.998826
857,1,2,0.998832,0.998832
859,3,0,1.001166,1.001166
863,3,0,1.001160,1.001160
877,1,2,0.998858,0.998858
881,1,2,0.998864,0.998864
883,3,0,1.001134,1.001134
887,3,0,1.001129,1.001129
907,3,0,1.001104,1.001104
911,3,0,1.001099,1.001099
919,3,0,1.001089,1.001089
929,1,2,0.998922,0.998922
937,1,2,0.998932,0.998932
941,1,2,0.998936,0.998936
947,3,0,1.001057,1.001057
953,1,2,0.998950,0.998950
967,3,0,1.001035,1.001035
971,3,0,1.001031,1.001031
977,1,2,0.998975,0.998975
983,3,0,1.001018,1.001018
991,3,0,1.001010,1.001010
997,1,2,0.998996,0.998996
1009,1,2,0.999008,0.999008
1013,1,2,0.999012,0.999012
1019,3,0,1.000982,1.000982
1021,1,2,0.999020,0.999020
1031,3,0,1.000971,1.000971
1033,1,2,0.999031,0.999031
1039,3,0,1.000963,1.000963
1049,1,2,0.999046,0.999046
1051,3,0,1.000952,1.000952
1061,1,2,0.999057,0.999057
1063,3,0,1.000942,1.000942
1069,1,2,0.999064,0.999064
1087,3,0,1.000921,1.000921
1091,3,0,1.000917,1.000917
1093,1,2,0.999084,0.999084
1097,1,2,0.999088,0.999088
1103,3,0,1.000907,1.000907
1109,1,2,0.999097,0.999097
1117,1,2,0.999104,0.999104
1123,3,0,1.000891,1.000891
1129,1,2,0.999113,0.999113
1151,3,0,1.000870,1.000870
1153,1,2,0.999132,0.999132
1163,3,0,1.000861,1.000861
1171,3,0,1.000855,1.000855
1181,1,2,0.999153,0.999153
1187,3,0,1.000843,1.000843
1193,1,2,0.999161,0.999161
1201,1,2,0.999167,0.999167
1213,1,2,0.999175,0.999175
1217,1,2,0.999178,0.999178
1223,3,0,1.000818,1.000818
1229,1,2,0.999186,0.999186
1231,3,0,1.000813,1.000813
1237,1,2,0.999191,0.999191
1249,1,2,0.999199,0.999199
1259,3,0,1.000795,1.000795
1277,1,2,0.999216,0.999216
1279,3,0,1.000782,1.000782
1283,3,0,1.000780,1.000780
1289,1,2,0.999224,0.999224
1291,3,0,1.000775,1.000775
1297,1,2,0.999228,0.999228
1301,1,2,0.999231,0.999231
1303,3,0,1.000768,1.000768
1307,3,0,1.000766,1.000766
1319,3,0,1.000759,1.000759
1321,1,2,0.999242,0.999242
1327,3,0,1.000754,1.000754
1361,1,2,0.999265,0.999265
1367,3,0,1.000732,1.000732
1373,1,2,0.999271,0.999271
1381,1,2,0.999275,0.999275
1399,3,0,1.000715,1.000715
1409,1,2,0.999290,0.999290
1423,3,0,1.000703,1.000703
1427,3,0,1.000701,1.000701
1429,1,2,0.999300,0.999300
1433,1,2,0.999302,0.999302
1439,3,0,1.000695,1.000695
1447,3,0,1.000692,1.000692
1451,3,0,1.000690,1.000690
1453,1,2,0.999311,0.999311
1459,3,0,1.000686,1.000686
1471,3,0,1.000680,1.000680
1481,1,2,0.999324,0.999324
1483,3,0,1.000675,1.000675
1487,3,0,1.000673,1.000673
1489,1,2,0.999328,0.999328
1493,1,2,0.999330,0.999330
1499,3,0,1.000668,1.000668
1511,3,0,1.000662,1.000662
1523,3,0,1.000657,1.000657
1531,3,0,1.000654,1.000654
1543,3,0,1.000649,1.000649
1549,1,2,0.999354,0.999354
1553,1,2,0.999356,0.999356
1559,3,0,1.000642,1.000642
1567,3,0,1.000639,1.000639
1571,3,0,1.000637,1.000637
1579,3,0,1.000634,1.000634
1583,3,0,1.000632,1.000632
1597,1,2,0.999373,0.999373
1601,1,2,0.999375,0.999375
1607,3,0,1.000623,1.000623
1609,1,2,0.999378,0.999378
1613,1,2,0.999380,0.999380
1619,3,0,1.000618,1.000618
1621,1,2,0.999383,0.999383
1627,3,0,1.000615,1.000615
1637,1,2,0.999389,0.999389
1657,1,2,0.999396,0.999396
1663,3,0,1.000602,1.000602
1667,3,0,1.000600,1.000600
1669,1,2,0.999400,0.999401
1693,1,2,0.999409,0.999409
1697,1,2,0.999410,0.999410
1699,3,0,1.000589,1.000589
1709,1,2,0.999415,0.999415
1721,1,2,0.999419,0.999419
1723,3,0,1.000581,1.000581
1733,1,2,0.999423,0.999423
1741,1,2,0.999425,0.999425
1747,3,0,1.000573,1.000573
1753,1,2,0.999429,0.999429
1759,3,0,1.000569,1.000569
1777,1,2,0.999437,0.999437
1783,3,0,1.000561,1.000561
1787,3,0,1.000560,1.000560
1789,1,2,0.999441,0.999441
1801,1,2,0.999444,0.999444
1811,3,0,1.000552,1.000552
1823,3,0,1.000549,1.000549
1831,3,0,1.000546,1.000546
1847,3,0,1.000542,1.000542
1861,1,2,0.999462,0.999462
1867,3,0,1.000536,1.000536
1871,3,0,1.000535,1.000535
1873,1,2,0.999466,0.999466
1877,1,2,0.999467,0.999467
1879,3,0,1.000532,1.000532
1889,1,2,0.999470,0.999470
1901,1,2,0.999474,0.999474
1907,3,0,1.000525,1.000525
1913,1,2,0.999477,0.999477
1931,3,0,1.000518,1.000518
1933,1,2,0.999482,0.999482
1949,1,2,0.999487,0.999487
1951,3,0,1.000513,1.000513
1973,1,2,0.999493,0.999493
1979,3,0,1.000506,1.000506
1987,3,0,1.000504,1.000504
1993,1,2,0.999498,0.999498
1997,1,2,0.999499,0.999499
1999,3,0,1.000501,1.000501
