x_prime,C_product_up_to_x
17,1.240723
19,1.309652
23,1.369181
31,1.364291
41,1.293235
53,1.326793
71,1.366530
89,1.365773
113,1.339202
157,1.351095
199,1.359648
263,1.371734
349,1.362189
443,1.361811
587,1.369747
743,1.371273
971,1.370457
1237,1.364379
1601,1.372693
2081,1.370248
2683,1.370197
3457,1.369255
4397,1.370146
5653,1.372557
7237,1.372236
9281,1.370167
11923,1.372656
15193,1.371761
19441,1.371872
24763,1.371949
31643,1.372004
40277,1.372397
51361,1.372642
65393,1.372352
83093,1.372481
105733,1.372532
134401,1.372768
170881,1.372593
216917,1.372580
275227,1.372620
349039,1.372756
442753,1.372722
561191,1.372677
710987,1.372633
900563,1.372747
1140379,1.372754
1443073,1.372742
1825937,1.372727
2308699,1.372773
2919251,1.372786
3690151,1.372770
4662667,1.372763
5889857,1.372786
7436509,1.372792
9388697,1.372793
11850469,1.372775
14953273,1.372787
18863521,1.372798
23792831,1.372804
29999989,1.372798
